Uid	PrefName	Name
67535579	Cardiofaciocutaneous syndrome	"cardio-facio-cutaneous CFC syndrome,Cardio-facio-cutaneous syndrome,CFC syndrome"
67536494	Uveal melanoma	Uveal melanoma
68000230	Adenocarcinoma	"Adenocarcinoma,adenocarcinomas"
68001254	Astrocytoma	"Astrocytoma,astrocytomas,malignant astrocytoma"
68001749	Urinary Bladder Neoplasms	bladder cancer
68001932	Brain Neoplasms	brain tumor
68001943	Breast Neoplasms	"breast cancer,breast carcinoma"
68002289	"Carcinoma, Non-Small-Cell Lung"	"nonsmall cell lung cancer,non-small cell lung cancer,non-small-cell lung cancer,NSCLC"
68002292	"Carcinoma, Renal Cell"	renal cell carcinoma
68002294	"Carcinoma, Squamous Cell"	squamous cell carcinomas
68002583	Uterine Cervical Neoplasms	"CC,cervix carcinoma"
68003110	Colonic Neoplasms	"colon cancer,colonic cancers,colonic tumors"
68005909	Glioblastoma	"GBM,glioblastoma,glioblastoma multiforme,glioblastomas"
68005910	Glioma	gliomas
68006411	"Hematopoiesis, Extramedullary"	extramedullary hematopoeisis
68006528	"Carcinoma, Hepatocellular"	Hepatocellular carcinoma
68007938	Leukemia	"Leukemia,leukemias"
68007943	"Leukemia, Hairy Cell"	hairy cell leukemia
68007964	Leukocytosis	leukocytosis
68008113	Liver Neoplasms	liver cancer
68008175	Lung Neoplasms	"lung cancer,lung cancers"
68008223	Lymphoma	lymphomas
68008545	Melanoma	"cutaneous melanoma,Melanoma,melanomas"
68009062	Mouth Neoplasms	oral cancer
68009447	Neuroblastoma	neuroblastoma
68010051	Ovarian Neoplasms	"ovarian cancer,ovarian cancers,ovarian carcinomas"
68010190	Pancreatic Neoplasms	"pancreatic adenocarcinoma,pancreatic cancer"
68011087	Polycythemia Vera	polycythemia vera
68011471	Prostatic Neoplasms	"prostate cancer,prostate cancers,prostatic tumor"
68012208	Rhabdomyosarcoma	rhabdomyosarcomas
68012516	Osteosarcoma	Osteosarcoma
68013274	Stomach Neoplasms	"Gastric Cancer,gastric carcinomas,GC"
68013736	Testicular Neoplasms	testicular carcinoma
68013922	Thrombocytosis	Thrombocytosis
68013964	Thyroid Neoplasms	"thyroid cancer,thyroid cancers,thyroid tumor"
68015179	Colorectal Neoplasms	"colorectal cancer,colorectal carcinoma,CRC"
68015448	"Leukemia, B-Cell"	"B-cell leukemia,B-cell malignancies"
68015464	"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"	"Chronic Myelogenous Leukemia,chronic myeloid leukemia,chronic myeloid leukemias,CML,Myelogenous Chronic BCR-ABL Positive,Ph + leukemias,Philadelphia positive leukemias"
68015470	"Leukemia, Myeloid, Acute"	"acute myeloid leukemias,acute?myeloid?leukemia,AML"
68016393	"Lymphoma, B-Cell"	B-Cell lymphoma
68016403	"Lymphoma, Large B-Cell, Diffuse"	"diffused large B-cell lymphomas,DLBCL"
68017681	Hypereosinophilic Syndrome	"HES,hypereosinophilic syndromes"
68017728	"Lymphoma, Large-Cell, Anaplastic"	anaplastic large cell lymphomas
68019337	Hematologic Neoplasms	hematologic malignancies
68021441	"Carcinoma, Pancreatic Ductal"	"pancreatic ductal adenocarcinomas,PDAC"
68034721	"Mastocytosis, Systemic"	systemic mastocytosis
68046152	Gastrointestinal Stromal Tumors	Gastrointestinal Stromal Tumor
68054429	"Leukemia, Myelomonocytic, Juvenile"	"JMML,juvenile myelomonocytic leukemia"
68054437	Myelodysplastic-Myeloproliferative Diseases	"MPN,myeloproliferative neoplasms"
68055728	Primary Myelofibrosis	"myelofibrosis,primary myelofibrosis"
-1	 	infiltrative brain tumor
-1	 	Skin Lesions
-1	 	somatic cancer
-1		MA
