Uid	PrefName	Name
25	ABL1	"BCR-ABL,ABL1,ABL,Abl-1"
207	AKT1	"AKT1,AKT"
238	ALK	"NPM-ALK,ALK"
367	AR	AR
558	AXL	AXL
673	BRAF	BRAF
675	BRCA2	BRCA2
1050	CEBPA	CEBPA
1950	EGF	EGF
1956	EGFR	EGFR
2146	EZH2	Ezh2
2260	FGFR1	FGFR1
2264	FGFR4	FGFR4
2322	FLT3	FLT3
2475	MTOR	mTOR
2776	GNAQ	GNAQ
3265	HRAS	HRAS
3320	HSP90AA1	Hsp90
3417	IDH1	IDH1
3596	IL13	"IL-13,IL13"
3717	JAK2	JAK2
3718	JAK3	JAK3
3845	KRAS	KRAS
4233	MET	MET
4350	MPG	MPG
4352	MPL	MPL
4609	MYC	MYC
4763	NF1	NF1
4851	NOTCH1	NOTCH1
4893	NRAS	"NRAS,N-RAS"
5058	PAK1	PAK1
5156	PDGFRA	"PDGFRA,FIP1L1-PDGFRA"
5159	PDGFRB	PDGFR
5290	PIK3CA	PIK3CA
5300	PIN1	PIN1
5604	MAP2K1	MEK1
5728	PTEN	"PTEN,PTEN-Long"
5777	PTPN6	SHP1
5781	PTPN11	SHP2
5894	RAF1	CRAF
5898	RALA	RalA
6256	RXRA	RXRA
6490	PMEL	SI
6714	SRC	c-SRC
6790	AURKA	AURKA
7157	TP53	"p53,TP53"
10135	NAMPT	NAMPT
14225	Fkbp1a	FKBP
15461	Hras	H-Ras
16189	Il4	IL-4
16590	Kit	KIT
16653	Kras	"Ras,K-Ras"
44039	Pak	Pak
50943	FOXP3	FOXP3
51119	SBDS	SDS
109880	Braf	B-Raf
252554	sav	SAv
-1	 	mfVII
-1	 	VSV
-1	 	hTRM9L
-1	 	VSV-rp30
